title,summary,primary_tag,tags,n_tags,primary_category,categories,author,authors,n_authors,url_pdf,url_href,date
Plato Dialogue System: A Flexible Conversational AI Research Platform,"As the field of Spoken Dialogue Systems and Conversational AI grows, so does
the need for tools and environments that abstract away implementation details
in order to expedite the development process, lower the barrier of entry to the
field, and offer a common test-bed for new ideas. In this paper, we present
Plato, a flexible Conversational AI platform written in Python that supports
any kind of conversational agent architecture, from standard architectures to
architectures with jointly-trained components, single- or multi-party
interactions, and offline or online training of any conversational agent
component. Plato has been designed to be easy to understand and debug and is
agnostic to the underlying learning frameworks that train each component.",cs.HC,"cs.CL, cs.HC, cs.AI",3,Human-Computer Interaction,"Computation and Language, Human-Computer Interaction, Artificial Intelligence",Gokhan Tur,"Alexandros Papangelis, Mahdi Namazifar, Chandra Khatri, Yi-Chia Wang, Piero Molino, Gokhan Tur",6,http://arxiv.org/pdf/2001.06463v1,http://arxiv.org/abs/2001.06463v1,2020-01-17
Modality-Balanced Models for Visual Dialogue,"The Visual Dialog task requires a model to exploit both image and
conversational context information to generate the next response to the
dialogue. However, via manual analysis, we find that a large number of
conversational questions can be answered by only looking at the image without
any access to the context history, while others still need the conversation
context to predict the correct answers. We demonstrate that due to this reason,
previous joint-modality (history and image) models over-rely on and are more
prone to memorizing the dialogue history (e.g., by extracting certain keywords
or patterns in the context information), whereas image-only models are more
generalizable (because they cannot memorize or extract keywords from history)
and perform substantially better at the primary normalized discounted
cumulative gain (NDCG) task metric which allows multiple correct answers.
Hence, this observation encourages us to explicitly maintain two models, i.e.,
an image-only model and an image-history joint model, and combine their
complementary abilities for a more balanced multimodal model. We present
multiple methods for this integration of the two models, via ensemble and
consensus dropout fusion with shared parameters. Empirically, our models
achieve strong results on the Visual Dialog challenge 2019 (rank 3 on NDCG and
high balance across metrics), and substantially outperform the winner of the
Visual Dialog challenge 2018 on most metrics.",cs.CL,"cs.CL, cs.CV, cs.AI",3,Computation and Language,"Computation and Language, Computer Vision and Pattern Recognition, Artificial Intelligence",Mohit Bansal,"Hyounghun Kim, Hao Tan, Mohit Bansal",3,http://arxiv.org/pdf/2001.06354v1,http://arxiv.org/abs/2001.06354v1,2020-01-17
Visual Simplified Characters' Emotion Emulator Implementing OCC Model,"In this paper, we present a visual emulator of the emotions seen in
characters in stories. This system is based on a simplified view of the
cognitive structure of emotions proposed by Ortony, Clore and Collins (OCC
Model). The goal of this paper is to provide a visual platform that allows us
to observe changes in the characters' different emotions, and the intricate
interrelationships between: 1) each character's emotions, 2) their affective
relationships and actions, 3) The events that take place in the development of
a plot, and 4) the objects of desire that make up the emotional map of any
story. This tool was tested on stories with a contrasting variety of emotional
and affective environments: Othello, Twilight, and Harry Potter, behaving
sensibly and in keeping with the atmosphere in which the characters were
immersed.",cs.AI,cs.AI,1,Artificial Intelligence,Artificial Intelligence,Jaime Enrique Cabrera-López,"Ana Lilia Laureano-Cruces, Laura Hernández-Domínguez, Martha Mora-Torres, Juan-Manuel Torres-Moreno, Jaime Enrique Cabrera-López",5,http://arxiv.org/pdf/2001.06190v1,http://arxiv.org/abs/2001.06190v1,2020-01-17
Unsupervised Learning of Camera Pose with Compositional Re-estimation,"We consider the problem of unsupervised camera pose estimation. Given an
input video sequence, our goal is to estimate the camera pose (i.e. the camera
motion) between consecutive frames. Traditionally, this problem is tackled by
placing strict constraints on the transformation vector or by incorporating
optical flow through a complex pipeline. We propose an alternative approach
that utilizes a compositional re-estimation process for camera pose estimation.
Given an input, we first estimate a depth map. Our method then iteratively
estimates the camera motion based on the estimated depth map. Our approach
significantly improves the predicted camera motion both quantitatively and
visually. Furthermore, the re-estimation resolves the problem of
out-of-boundaries pixels in a novel and simple way. Another advantage of our
approach is that it is adaptable to other camera pose estimation approaches.
Experimental analysis on KITTI benchmark dataset demonstrates that our method
outperforms existing state-of-the-art approaches in unsupervised camera
ego-motion estimation.",cs.CV,cs.CV,1,Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,Yang Wang,"Seyed Shahabeddin Nabavi, Mehrdad Hosseinzadeh, Ramin Fahimi, Yang Wang",4,http://arxiv.org/pdf/2001.06479v1,http://arxiv.org/abs/2001.06479v1,2020-01-17
"Combining PRNU and noiseprint for robust and efficient device source
  identification","PRNU-based image processing is a key asset in digital multimedia forensics.
It allows for reliable device identification and effective detection and
localization of image forgeries, in very general conditions. However,
performance impairs significantly in challenging conditions involving low
quality and quantity of data. These include working on compressed and cropped
images, or estimating the camera PRNU pattern based on only a few images. To
boost the performance of PRNU-based analyses in such conditions we propose to
leverage the image noiseprint, a recently proposed camera-model fingerprint
that has proved effective for several forensic tasks. Numerical experiments on
datasets widely used for source identification prove that the proposed method
ensures a significant performance improvement in a wide range of challenging
situations.",cs.CV,"cs.CV, eess.IV",2,Computer Vision and Pattern Recognition,"Computer Vision and Pattern Recognition, Image and Video Processing",Luisa Verdoliva,"Davide Cozzolino, Francesco Marra, Diego Gragnaniello, Giovanni Poggi, Luisa Verdoliva",5,http://arxiv.org/pdf/2001.06440v1,http://arxiv.org/abs/2001.06440v1,2020-01-17
TailorGAN: Making User-Defined Fashion Designs,"Attribute editing has become an important and emerging topic of computer
vision. In this paper, we consider a task: given a reference garment image A
and another image B with target attribute (collar/sleeve), generate a
photo-realistic image which combines the texture from reference A and the new
attribute from reference B. The highly convoluted attributes and the lack of
paired data are the main challenges to the task. To overcome those limitations,
we propose a novel self-supervised model to synthesize garment images with
disentangled attributes (e.g., collar and sleeves) without paired data. Our
method consists of a reconstruction learning step and an adversarial learning
step. The model learns texture and location information through reconstruction
learning. And, the model's capability is generalized to achieve
single-attribute manipulation by adversarial learning. Meanwhile, we compose a
new dataset, named GarmentSet, with annotation of landmarks of collars and
sleeves on clean garment images. Extensive experiments on this dataset and
real-world samples demonstrate that our method can synthesize much better
results than the state-of-the-art methods in both quantitative and qualitative
comparisons.",cs.CV,cs.CV,1,Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,Shao-Hang Hsieh,"Lele Chen, Justin Tian, Guo Li, Cheng-Haw Wu, Erh-Kan King, Kuan-Ting Chen, Shao-Hang Hsieh",7,http://arxiv.org/pdf/2001.06427v1,http://arxiv.org/abs/2001.06427v1,2020-01-17
GraphBGS: Background Subtraction via Recovery of Graph Signals,"Graph-based algorithms have been successful approaching the problems of
unsupervised and semi-supervised learning. Recently, the theory of graph signal
processing and semi-supervised learning have been combined leading to new
developments and insights in the field of machine learning. In this paper,
concepts of recovery of graph signals and semi-supervised learning are
introduced in the problem of background subtraction. We propose a new algorithm
named GraphBGS, this method uses a Mask R-CNN for instances segmentation;
temporal median filter for background initialization; motion, texture, color,
and structural features for representing the nodes of a graph; k-nearest
neighbors for the construction of the graph; and finally a semi-supervised
method inspired from the theory of recovery of graph signals to solve the
problem of background subtraction. The method is evaluated on the publicly
available change detection, and scene background initialization databases.
Experimental results show that GraphBGS outperforms unsupervised background
subtraction algorithms in some challenges of the change detection dataset. And
most significantly, this method outperforms generative adversarial networks in
unseen videos in some sequences of the scene background initialization
database.",cs.CV,cs.CV,1,Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,Thierry Bouwmans,"Jhony H. Giraldo, Thierry Bouwmans",2,http://arxiv.org/pdf/2001.06404v1,http://arxiv.org/abs/2001.06404v1,2020-01-17
Latency-Aware Differentiable Neural Architecture Search,"Differentiable neural architecture search methods became popular in automated
machine learning, mainly due to their low search costs and flexibility in
designing the search space. However, these methods suffer the difficulty in
optimizing network, so that the searched network is often unfriendly to
hardware. This paper deals with this problem by adding a differentiable latency
loss term into optimization, so that the search process can tradeoff between
accuracy and latency with a balancing coefficient. The core of latency
prediction is to encode each network architecture and feed it into a
multi-layer regressor, with the training data being collected from randomly
sampling a number of architectures and evaluating them on the hardware. We
evaluate our approach on NVIDIA Tesla-P100 GPUs. With 100K sampled
architectures (requiring a few hours), the latency prediction module arrives at
a relative error of lower than 10\%. Equipped with this module, the search
method can reduce the latency by 20% meanwhile preserving the accuracy. Our
approach also enjoys the ability of being transplanted to a wide range of
hardware platforms with very few efforts, or being used to optimizing other
non-differentiable factors such as power consumption.",cs.CV,cs.CV,1,Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,Hongkai Xiong,"Yuhui Xu, Lingxi Xie, Xiaopeng Zhang, Xin Chen, Bowen Shi, Qi Tian, Hongkai Xiong",7,http://arxiv.org/pdf/2001.06392v1,http://arxiv.org/abs/2001.06392v1,2020-01-17
"BigEarthNet Deep Learning Models with A New Class-Nomenclature for
  Remote Sensing Image Understanding","Success of deep neural networks in the framework of remote sensing (RS) image
analysis depends on the availability of a high number of annotated images.
BigEarthNet is a new large-scale Sentinel-2 benchmark archive that has been
recently introduced in RS to advance deep learning (DL) studies. Each image
patch in BigEarthNet is annotated with multi-labels provided by the CORINE Land
Cover (CLC) map of 2018 based on its most thematic detailed Level-3 class
nomenclature. BigEarthNet has enabled data-hungry DL algorithms to reach high
performance in the context of multi-label RS image retrieval and
classification. However, initial research demonstrates that some CLC classes
are challenging to be accurately described by considering only (single-date)
Sentinel-2 images. To further increase the effectiveness of BigEarthNet, in
this paper we introduce an alternative class-nomenclature to allow DL models
for better learning and describing the complex spatial and spectral information
content of the Sentinel-2 images. This is achieved by interpreting and
arranging the CLC Level-3 nomenclature based on the properties of Sentinel-2
images in a new nomenclature of 19 classes. Then, the new class-nomenclature of
BigEarthNet is used within state-of-the-art DL models (namely VGG model at the
depth of 16 and 19 layers [VGG16 and VGG19] and ResNet model at the depth of
50, 101 and 152 layers [ResNet50, ResNet101, ResNet152] as well as K-Branch CNN
model) in the context of multi-label classification. Experimental results show
that the models trained from scratch on BigEarthNet outperform those
pre-trained on ImageNet, especially in relation to some complex classes
including agriculture and other vegetated and natural environments. All DL
models are made publicly available, offering an important resource to guide
future progress on content based image retrieval and scene classification
problems in RS.",cs.CV,cs.CV,1,Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,Begüm Demir,"Gencer Sumbul, Jian Kang, Tristan Kreuziger, Filipe Marcelino, Hugo Costa, Pedro Benevides, Mario Caetano, Begüm Demir",8,http://arxiv.org/pdf/2001.06372v1,http://arxiv.org/abs/2001.06372v1,2020-01-17
"Efficient Facial Feature Learning with Wide Ensemble-based Convolutional
  Neural Networks","Ensemble methods, traditionally built with independently trained
de-correlated models, have proven to be efficient methods for reducing the
remaining residual generalization error, which results in robust and accurate
methods for real-world applications. In the context of deep learning, however,
training an ensemble of deep networks is costly and generates high redundancy
which is inefficient. In this paper, we present experiments on Ensembles with
Shared Representations (ESRs) based on convolutional networks to demonstrate,
quantitatively and qualitatively, their data processing efficiency and
scalability to large-scale datasets of facial expressions. We show that
redundancy and computational load can be dramatically reduced by varying the
branching level of the ESR without loss of diversity and generalization power,
which are both important for ensemble performance. Experiments on large-scale
datasets suggest that ESRs reduce the remaining residual generalization error
on the AffectNet and FER+ datasets, reach human-level performance, and
outperform state-of-the-art methods on facial expression recognition in the
wild using emotion and affect concepts.",cs.CV,"cs.CV, stat.ML, cs.LG",3,Computer Vision and Pattern Recognition,"Computer Vision and Pattern Recognition, Machine Learning, Machine Learning",Stefan Wermter,"Henrique Siqueira, Sven Magg, Stefan Wermter",3,http://arxiv.org/pdf/2001.06338v1,http://arxiv.org/abs/2001.06338v1,2020-01-17
