title,summary,primary_tag,tags,n_tags,primary_category,categories,author,authors,n_authors,url_pdf,url_href,date
"D3BA: A Tool for Optimizing Business Processes Using Non-Deterministic
  Planning","This paper builds upon recent work in the declarative design of dialogue
agents and proposes an exciting new tool -- D3BA -- Declarative Design for
Digital Business Automation, built to optimize business processes using the
power of AI planning. The tool provides a powerful framework to build,
optimize, and maintain complex business processes and optimize them by
composing with services that automate one or more subtasks. We illustrate
salient features of this composition technique, compare with other philosophies
of composition, and highlight exciting opportunities for research in this
emerging field of business process automation.",cs.AI,"cs.CE, cs.AI",2,Artificial Intelligence,"Computational Engineering, Finance, and Science, Artificial Intelligence",Yasaman Khazaeni,"Tathagata Chakraborti, Yasaman Khazaeni",2,http://arxiv.org/pdf/2001.02619v1,http://arxiv.org/abs/2001.02619v1,2020-01-08
On Interpretability of Artificial Neural Networks,"Deep learning has achieved great successes in many important areas to dealing
with text, images, video, graphs, and so on. However, the black-box nature of
deep artificial neural networks has become the primary obstacle to their public
acceptance and wide popularity in critical applications such as diagnosis and
therapy. Due to the huge potential of deep learning, interpreting neural
networks has become one of the most critical research directions. In this
paper, we systematically review recent studies in understanding the mechanism
of neural networks and shed light on some future directions of interpretability
research (This work is still in progress).",cs.LG,"cs.LG, cs.AI, stat.ML",3,Machine Learning,"Machine Learning, Artificial Intelligence, Machine Learning",Ge Wang,"Fenglei Fan, Jinjun Xiong, Ge Wang",3,http://arxiv.org/pdf/2001.02522v1,http://arxiv.org/abs/2001.02522v1,2020-01-08
"Questioning the AI: Informing Design Practices for Explainable AI User
  Experiences","A surge of interest in explainable AI (XAI) has led to a vast collection of
algorithmic work on the topic. While many recognize the necessity to
incorporate explainability features in AI systems, how to address real-world
user needs for understanding AI remains an open question. By interviewing 20 UX
and design practitioners working on various AI products, we seek to identify
gaps between the current XAI algorithmic work and practices to create
explainable AI products. To do so, we develop an algorithm-informed XAI
question bank in which user needs for explainability are represented as
prototypical questions users might ask about the AI, and use it as a study
probe. Our work contributes insights into the design space of XAI, informs
efforts to support design practices in this space, and identifies opportunities
for future XAI work. We also provide an extended XAI question bank and discuss
how it can be used for creating user-centered XAI.",cs.HC,"cs.SE, cs.HC, cs.AI, cs.LG",4,Human-Computer Interaction,"Software Engineering, Human-Computer Interaction, Artificial Intelligence, Machine Learning",Sarah Miller,"Q. Vera Liao, Daniel Gruen, Sarah Miller",3,http://arxiv.org/pdf/2001.02478v1,http://arxiv.org/abs/2001.02478v1,2020-01-08
"From Natural Language Instructions to Complex Processes: Issues in
  Chaining Trigger Action Rules","Automation services for complex business processes usually require a high
level of information technology literacy. There is a strong demand for a
smartly assisted process automation (IPA: intelligent process automation)
service that enables even general users to easily use advanced automation. A
natural language interface for such automation is expected as an elemental
technology for the IPA realization. The workflow targeted by IPA is generally
composed of a combination of multiple tasks. However, semantic parsing, one of
the natural language processing methods, for such complex workflows has not yet
been fully studied. The reasons are that (1) the formal expression and grammar
of the workflow required for semantic analysis have not been sufficiently
examined and (2) the dataset of the workflow formal expression with its
corresponding natural language description required for learning workflow
semantics did not exist. This paper defines a new grammar for complex workflows
with chaining machine-executable meaning representations for semantic parsing.
The representations are at a high abstraction level. Additionally, an approach
to creating datasets is proposed based on this grammar.",cs.AI,"cs.AI, cs.CL",2,Artificial Intelligence,"Artificial Intelligence, Computation and Language",Akiko Aizawa,"Nobuhiro Ito, Yuya Suzuki, Akiko Aizawa",3,http://arxiv.org/pdf/2001.02462v1,http://arxiv.org/abs/2001.02462v1,2020-01-08
"High-Level Plan for Behavioral Robot Navigation with Natural Language
  Directions and R-NET","When the navigational environment is known, it can be represented as a graph
where landmarks are nodes, the robot behaviors that move from node to node are
edges, and the route is a set of behavioral instructions. The route path from
source to destination can be viewed as a class of combinatorial optimization
problems where the path is a sequential subset from a set of discrete items.
The pointer network is an attention-based recurrent network that is suitable
for such a task. In this paper, we utilize a modified R-NET with gated
attention and self-matching attention translating natural language instructions
to a high-level plan for behavioral robot navigation by developing an
understanding of the behavioral navigational graph to enable the pointer
network to produce a sequence of behaviors representing the path. Tests on the
navigation graph dataset show that our model outperforms the state-of-the-art
approach for both known and unknown environments.",cs.AI,"cs.LG, cs.AI",2,Artificial Intelligence,"Machine Learning, Artificial Intelligence",Qinru Qiu,"Amar Shrestha, Krittaphat Pugdeethosapol, Haowen Fang, Qinru Qiu",4,http://arxiv.org/pdf/2001.02330v1,http://arxiv.org/abs/2001.02330v1,2020-01-08
"Emo-CNN for Perceiving Stress from Audio Signals: A Brain Chemistry
  Approach","Emotion plays a key role in many applications like healthcare, to gather
patients emotional behavior. There are certain emotions which are given more
importance due to their effectiveness in understanding human feelings. In this
paper, we propose an approach that models human stress from audio signals. The
research challenge in speech emotion detection is defining the very meaning of
stress and being able to categorize it in a precise manner. Supervised Machine
Learning models, including state of the art Deep Learning classification
methods, rely on the availability of clean and labelled data. One of the
problems in affective computation and emotion detection is the limited amount
of annotated data of stress. The existing labelled stress emotion datasets are
highly subjective to the perception of the annotator.
  We address the first issue of feature selection by exploiting the use of
traditional MFCC features in Convolutional Neural Network. Our experiments show
that Emo-CNN consistently and significantly outperforms the popular existing
methods over multiple datasets. It achieves 90.2% categorical accuracy on the
Emo-DB dataset. To tackle the second and the more significant problem of
subjectivity in stress labels, we use Lovheim's cube, which is a 3-dimensional
projection of emotions. The cube aims at explaining the relationship between
these neurotransmitters and the positions of emotions in 3D space. The learnt
emotion representations from the Emo-CNN are mapped to the cube using three
component PCA (Principal Component Analysis) which is then used to model human
stress. This proposed approach not only circumvents the need for labelled
stress data but also complies with the psychological theory of emotions given
by Lovheim's cube. We believe that this work is the first step towards creating
a connection between Artificial Intelligence and the chemistry of human
emotions.",cs.HC,"cs.HC, cs.AI, cs.SD, eess.AS",4,Human-Computer Interaction,"Human-Computer Interaction, Artificial Intelligence, Sound, Audio and Speech Processing",Renaud Seguier,"Anup Anand Deshmukh, Catherine Soladie, Renaud Seguier",3,http://arxiv.org/pdf/2001.02329v1,http://arxiv.org/abs/2001.02329v1,2020-01-08
The Past and Present of Imitation Learning: A Citation Chain Study,"Imitation Learning is a promising area of active research. Over the last 30
years, Imitation Learning has advanced significantly and been used to solve
difficult tasks ranging from Autonomous Driving to playing Atari games. In the
course of this development, different methods for performing Imitation Learning
have fallen into and out of favor. In this paper, I explore the development of
these different methods and attempt to examine how the field has progressed. I
focus my analysis on surveying 4 landmark papers that sequentially build upon
each other to develop increasingly impressive Imitation Learning methods.",cs.LG,"cs.LG, cs.AI",2,Machine Learning,"Machine Learning, Artificial Intelligence",Nishanth Kumar,Nishanth Kumar,1,http://arxiv.org/pdf/2001.02328v1,http://arxiv.org/abs/2001.02328v1,2020-01-08
"SGD with Hardness Weighted Sampling for Distributionally Robust Deep
  Learning","Distributionally Robust Optimization (DRO) has been proposed as an
alternative to Empirical Risk Minimization (ERM) in order to account for
potential biases in the training data distribution. However, its use in deep
learning has been severely restricted due to the relative inefficiency of the
optimizers available for DRO in comparison to the wide-spread Stochastic
Gradient Descent (SGD) based optimizers for deep learning with ERM. We propose
SGD with Hardness weighted sampling, an efficient optimization method for
machine learning with DRO with a focus on deep learning. In this work, we
propose SGD with hardness weighted sampling, a principled and efficient
optimization method for DRO in machine learning that is particularly suited in
the context of deep learning. We show that our optimization method can be
interpreted as a principled Hard Example Mining strategy. Similar to an online
hard example mining strategy in essence and in practice, the proposed algorithm
is straightforward to implement and computationally as efficient as SGD-based
optimizers used for deep learning. It only requires adding a softmax layer and
maintaining a history of the loss values for each training example to compute
adaptive sampling probabilities. In contrast to typical ad hoc hard mining
approaches, and exploiting recent theoretical results in deep learning
optimization, we We also prove the convergence of our DRO algorithm for
over-parameterized deep learning networks with ReLU activation and finite
number of layers and parameters. Preliminary results demonstrate the
feasibility and usefulness of our approach.",cs.LG,"cs.CV, cs.LG",2,Machine Learning,"Computer Vision and Pattern Recognition, Machine Learning",Tom Vercauteren,"Lucas Fidon, Sebastien Ourselin, Tom Vercauteren",3,http://arxiv.org/pdf/2001.02658v1,http://arxiv.org/abs/2001.02658v1,2020-01-08
CONSAC: Robust Multi-Model Fitting by Conditional Sample Consensus,"We present a robust estimator for fitting multiple parametric models of the
same form to noisy measurements. Applications include finding multiple
vanishing points in man-made scenes, fitting planes to architectural imagery,
or estimating multiple rigid motions within the same sequence. In contrast to
previous works, which resorted to hand-crafted search strategies for multiple
model detection, we learn the search strategy from data. A neural network
conditioned on previously detected models guides a RANSAC estimator to
different subsets of all measurements, thereby finding model instances one
after another. We train our method supervised as well as self-supervised. For
supervised training of the search strategy, we contribute a new dataset for
vanishing point estimation. Leveraging this dataset, the proposed algorithm is
superior with respect to other robust estimators as well as to designated
vanishing point estimation algorithms. For self-supervised learning of the
search, we evaluate the proposed algorithm on multi-homography estimation and
demonstrate an accuracy that is superior to state-of-the-art methods.",cs.CV,cs.CV,1,Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,Bodo Rosenhahn,"Florian Kluger, Eric Brachmann, Hanno Ackermann, Carsten Rother, Michael Ying Yang, Bodo Rosenhahn",6,http://arxiv.org/pdf/2001.02643v1,http://arxiv.org/abs/2001.02643v1,2020-01-08
Don't Forget The Past: Recurrent Depth Estimation from Monocular Video,"Autonomous cars need continuously updated depth information. Thus far, the
depth is mostly estimated independently for a single frame at a time, even if
the method starts from video input. Our method produces a time series of depth
maps, which makes it an ideal candidate for online learning approaches. In
particular, we put three different types of depth estimation (supervised depth
prediction, self-supervised depth prediction, and self-supervised depth
completion) into a common framework. We integrate the corresponding networks
with a convolutional LSTM such that the spatiotemporal structures of depth
across frames can be exploited to yield a more accurate depth estimation. Our
method is flexible. It can be applied to monocular videos only or be combined
with different types of sparse depth patterns. We carefully study the
architecture of the recurrent network and its training strategy. We are first
to successfully exploit recurrent networks for real-time self-supervised
monocular depth estimation and completion. Extensive experiments show that our
recurrent method outperforms its image-based counterpart consistently and
significantly in both self-supervised scenarios. It also outperforms previous
depth estimation methods of the three popular groups.",cs.CV,"eess.IV, cs.CV, cs.LG, cs.RO",4,Computer Vision and Pattern Recognition,"Image and Video Processing, Computer Vision and Pattern Recognition, Machine Learning, Robotics",Luc Van Gool,"Vaishakh Patil, Wouter Van Gansbeke, Dengxin Dai, Luc Van Gool",4,http://arxiv.org/pdf/2001.02613v1,http://arxiv.org/abs/2001.02613v1,2020-01-08
