title,summary,primary_tag,tags,n_tags,primary_category,categories,author,authors,n_authors,url_pdf,url_href,date
Towards a Framework for Certification of Reliable Autonomous Systems,"A computational system is called autonomous if it is able to make its own
decisions, or take its own actions, without human supervision or control. The
capability and spread of such systems have reached the point where they are
beginning to touch much of everyday life. However, regulators grapple with how
to deal with autonomous systems, for example how could we certify an Unmanned
Aerial System for autonomous use in civilian airspace? We here analyse what is
needed in order to provide verified reliable behaviour of an autonomous system,
analyse what can be done as the state-of-the-art in automated verification, and
propose a roadmap towards developing regulatory guidelines, including
articulating challenges to researchers, to engineers, and to regulators. Case
studies in seven distinct domains illustrate the article.",cs.SE,"cs.RO, cs.SE, cs.AI",3,Software Engineering,"Robotics, Software Engineering, Artificial Intelligence",Neil Yorke-Smith,"Michael Fisher, Viviana Mascardi, Kristin Yvonne Rozier, Bernd-Holger Schlingloff, Michael Winikoff, Neil Yorke-Smith",6,http://arxiv.org/pdf/2001.09124v1,http://arxiv.org/abs/2001.09124v1,2020-01-24
"Perception as prediction using general value functions in autonomous
  driving applications","We propose and demonstrate a framework called perception as prediction for
autonomous driving that uses general value functions (GVFs) to learn
predictions. Perception as prediction learns data-driven predictions relating
to the impact of actions on the agent's perception of the world. It also
provides a data-driven approach to predict the impact of the anticipated
behavior of other agents on the world without explicitly learning their policy
or intentions. We demonstrate perception as prediction by learning to predict
an agent's front safety and rear safety with GVFs, which encapsulate
anticipation of the behavior of the vehicle in front and in the rear,
respectively. The safety predictions are learned through random interactions in
a simulated environment containing other agents. We show that these predictions
can be used to produce similar control behavior to an LQR-based controller in
an adaptive cruise control problem as well as provide advanced warning when the
vehicle behind is approaching dangerously. The predictions are compact
policy-based predictions that support prediction of the long term impact on
safety when following a given policy. We analyze two controllers that use the
learned predictions in a racing simulator to understand the value of the
predictions and demonstrate their use in the real-world on a Clearpath Jackal
robot and an autonomous vehicle platform.",cs.RO,"cs.SY, cs.RO, cs.AI, eess.SY",4,Robotics,"Systems and Control, Robotics, Artificial Intelligence",Sean Scheideman,"Daniel Graves, Kasra Rezaee, Sean Scheideman",3,http://arxiv.org/pdf/2001.09113v1,http://arxiv.org/abs/2001.09113v1,2020-01-24
Towards Graph Representation Learning in Emergent Communication,"Recent findings in neuroscience suggest that the human brain represents
information in a geometric structure (for instance, through conceptual spaces).
In order to communicate, we flatten the complex representation of entities and
their attributes into a single word or a sentence. In this paper we use graph
convolutional networks to support the evolution of language and cooperation in
multi-agent systems. Motivated by an image-based referential game, we propose a
graph referential game with varying degrees of complexity, and we provide
strong baseline models that exhibit desirable properties in terms of language
emergence and cooperation. We show that the emerged communication protocol is
robust, that the agents uncover the true factors of variation in the game, and
that they learn to generalize beyond the samples encountered during training.",cs.LG,"cs.MA, cs.AI, cs.LG, stat.ML",4,Machine Learning,"Multiagent Systems, Artificial Intelligence, Machine Learning, Machine Learning",Sean B. Holden,"Agnieszka Słowik, Abhinav Gupta, William L. Hamilton, Mateja Jamnik, Sean B. Holden",5,http://arxiv.org/pdf/2001.09063v1,http://arxiv.org/abs/2001.09063v1,2020-01-24
Theoretically Expressive and Edge-aware Graph Learning,"We propose a new Graph Neural Network that combines recent advancements in
the field. We give theoretical contributions by proving that the model is
strictly more general than the Graph Isomorphism Network and the Gated Graph
Neural Network, as it can approximate the same functions and deal with
arbitrary edge values. Then, we show how a single node information can flow
through the graph unchanged.",cs.LG,"cs.AI, cs.LG, stat.ML",3,Machine Learning,"Artificial Intelligence, Machine Learning, Machine Learning",Alessio Micheli,"Federico Errica, Davide Bacciu, Alessio Micheli",3,http://arxiv.org/pdf/2001.09005v1,http://arxiv.org/abs/2001.09005v1,2020-01-24
Machine Understandable Policies and GDPR Compliance Checking,"The European General Data Protection Regulation (GDPR) calls for technical
and organizational measures to support its implementation. Towards this end,
the SPECIAL H2020 project aims to provide a set of tools that can be used by
data controllers and processors to automatically check if personal data
processing and sharing complies with the obligations set forth in the GDPR. The
primary contributions of the project include: (i) a policy language that can be
used to express consent, business policies, and regulatory obligations; and
(ii) two different approaches to automated compliance checking that can be used
to demonstrate that data processing performed by data controllers / processors
complies with consent provided by data subjects, and business processes comply
with regulatory obligations set forth in the GDPR.",cs.CY,"cs.CY, cs.AI",2,Computers and Society,"Computers and Society, Artificial Intelligence",Luigi Sauro,"Piero A. Bonatti, Sabrina Kirrane, Iliana M. Petrova, Luigi Sauro",4,http://arxiv.org/pdf/2001.08930v1,http://arxiv.org/abs/2001.08930v1,2020-01-24
On the Performance of Metaheuristics: A Different Perspective,"Nowadays, we are immersed in tens of newly-proposed evolutionary and
swam-intelligence metaheuristics, which makes it very difficult to choose a
proper one to be applied on a specific optimization problem at hand. On the
other hand, most of these metaheuristics are nothing but slightly modified
variants of the basic metaheuristics. For example, Differential Evolution (DE)
or Shuffled Frog Leaping (SFL) are just Genetic Algorithms (GA) with a
specialized operator or an extra local search, respectively. Therefore, what
comes to the mind is whether the behavior of such newly-proposed metaheuristics
can be investigated on the basis of studying the specifications and
characteristics of their ancestors. In this paper, a comprehensive evaluation
study on some basic metaheuristics i.e. Genetic Algorithm (GA), Particle Swarm
Optimization (PSO), Artificial Bee Colony (ABC), Teaching-Learning-Based
Optimization (TLBO), and Cuckoo Optimization algorithm (COA) is conducted,
which give us a deeper insight into the performance of them so that we will be
able to better estimate the performance and applicability of all other
variations originated from them. A large number of experiments have been
conducted on 20 different combinatorial optimization benchmark functions with
different characteristics, and the results reveal to us some fundamental
conclusions besides the following ranking order among these metaheuristics,
{ABC, PSO, TLBO, GA, COA} i.e. ABC and COA are the best and the worst methods
from the performance point of view, respectively. In addition, from the
convergence perspective, PSO and ABC have significant better convergence for
unimodal and multimodal functions, respectively, while GA and COA have
premature convergence to local optima in many cases needing alternative
mutation mechanisms to enhance diversification and global search.",cs.NE,"cs.NE, cs.AI",2,Neural and Evolutionary Computing,"Neural and Evolutionary Computing, Artificial Intelligence",Raouf Khayami,"Hamid Reza Boveiri, Raouf Khayami",2,http://arxiv.org/pdf/2001.08928v1,http://arxiv.org/abs/2001.08928v1,2020-01-24
Exploration Based Language Learning for Text-Based Games,"This work presents an exploration and imitation-learning-based agent capable
of state-of-the-art performance in playing text-based computer games.
Text-based computer games describe their world to the player through natural
language and expect the player to interact with the game using text. These
games are of interest as they can be seen as a testbed for language
understanding, problem-solving, and language generation by artificial agents.
Moreover, they provide a learning environment in which these skills can be
acquired through interactions with an environment rather than using fixed
corpora. One aspect that makes these games particularly challenging for
learning agents is the combinatorially large action space. Existing methods for
solving text-based games are limited to games that are either very simple or
have an action space restricted to a predetermined set of admissible actions.
In this work, we propose to use the exploration approach of Go-Explore for
solving text-based games. More specifically, in an initial exploration phase,
we first extract trajectories with high rewards, after which we train a policy
to solve the game by imitating these trajectories. Our experiments show that
this approach outperforms existing solutions in solving text-based games, and
it is more sample efficient in terms of the number of interactions with the
environment. Moreover, we show that the learned policy can generalize better
than existing solutions to unseen games without using any restriction on the
action space.",cs.CL,"cs.CL, cs.AI",2,Computation and Language,"Computation and Language, Artificial Intelligence",Gokhan Tur,"Andrea Madotto, Mahdi Namazifar, Joost Huizinga, Piero Molino, Adrien Ecoffet, Huaixiu Zheng, Alexandros Papangelis, Dian Yu, Chandra Khatri, Gokhan Tur",10,http://arxiv.org/pdf/2001.08868v1,http://arxiv.org/abs/2001.08868v1,2020-01-24
"RatLesNetv2: A Fully Convolutional Network for Rodent Brain Lesion
  Segmentation","Segmentation of rodent brain lesions on magnetic resonance images (MRIs) is a
time-consuming task with high inter- and intra-operator variability due to its
subjective nature. We present a three-dimensional fully convolutional neural
network (ConvNet) named RatLesNetv2 for segmenting rodent brain lesions. We
compare its performance with other ConvNets on an unusually large and
heterogeneous data set composed by 916 T2-weighted rat brain scans at nine
different lesion stages. RatLesNetv2 obtained similar to higher Dice
coefficients than the other ConvNets and it produced much more realistic and
compact segmentations with notably less holes and lower Hausdorff distance.
RatLesNetv2-derived segmentations also exceeded inter-rater agreement Dice
coefficients. Additionally, we show that training on disparate ground truths
leads to significantly different segmentations, and we study RatLesNetv2
generalization capability when optimizing for training sets of different sizes.
RatLesNetv2 is publicly available at https://github.com/jmlipman/RatLesNetv2.",cs.CV,"eess.IV, cs.CV",2,Computer Vision and Pattern Recognition,"Image and Video Processing, Computer Vision and Pattern Recognition",Jussi Tohka,"Juan Miguel Valverde, Artem Shatillo, Riccardo de Feo, Olli Gröhn, Alejandra Sierra, Jussi Tohka",6,http://arxiv.org/pdf/2001.09138v1,http://arxiv.org/abs/2001.09138v1,2020-01-24
"A Branching and Merging Convolutional Network with Homogeneous Filter
  Capsules","We present a convolutional neural network design with additional branches
after certain convolutions so that we can extract features with differing
effective receptive fields and levels of abstraction. From each branch, we
transform each of the final filters into a pair of homogeneous vector capsules.
As the capsules are formed from entire filters, we refer to them as filter
capsules. We then compare three methods for merging the branches--merging with
equal weight and merging with learned weights, with two different weight
initialization strategies. This design, in combination with a domain-specific
set of randomly applied augmentation techniques, establishes a new state of the
art for the MNIST dataset with an accuracy of 99.84% for an ensemble of these
models, as well as establishing a new state of the art for a single model
(99.79% accurate). These accuracies were achieved with a 75% reduction in both
the number of parameters and the number of epochs of training relative to the
previously best performing capsule network on MNIST. All training was performed
using the Adam optimizer and experienced no overfitting.",cs.CV,"cs.CV, cs.LG",2,Computer Vision and Pattern Recognition,"Computer Vision and Pattern Recognition, Machine Learning",Tatiana Kalganova,"Adam Byerly, Tatiana Kalganova",2,http://arxiv.org/pdf/2001.09136v1,http://arxiv.org/abs/2001.09136v1,2020-01-24
TVR: A Large-Scale Dataset for Video-Subtitle Moment Retrieval,"We introduce a new multimodal retrieval task - TV show Retrieval (TVR), in
which a short video moment has to be localized from a large video (with
subtitle) corpus, given a natural language query. Different from previous
moment retrieval tasks dealing with videos only, TVR requires the system to
understand both the video and the associated subtitle text, making it a more
realistic task. To support the study of this new task, we have collected a
large-scale, high-quality dataset consisting of 108,965 queries on 21,793
videos from 6 TV shows of diverse genres, where each query is associated with a
tight temporal alignment. Strict qualification and post-annotation verification
tests are applied to ensure the quality of the collected data. We present
several baselines and a novel Cross-modal Moment Localization (XML) modular
network for this new dataset and task. The proposed XML model surpasses all
presented baselines by a large margin and with better efficiency, providing a
strong starting point for future work. Extensive analysis experiments also show
that incorporating both video and subtitle modules yields better performance
than either alone. Lastly, we have also collected additional descriptions for
each annotated moment in TVR to form a new multimodal captioning dataset with
262K captions, named the TV show Caption dataset (TVC). Here models need to
jointly use the video and subtitle to generate a caption description. Both
datasets are publicly available at https://tvr.cs.unc.edu",cs.CV,"cs.CL, cs.CV, cs.IR",3,Computer Vision and Pattern Recognition,"Computation and Language, Computer Vision and Pattern Recognition, Information Retrieval",Mohit Bansal,"Jie Lei, Licheng Yu, Tamara L. Berg, Mohit Bansal",4,http://arxiv.org/pdf/2001.09099v1,http://arxiv.org/abs/2001.09099v1,2020-01-24
