title,summary,primary_tag,tags,n_tags,primary_category,categories,author,authors,n_authors,url_pdf,url_href,date
"Artificial Agents Learn Flexible Visual Representations by Playing a
  Hiding Game","The ubiquity of embodied gameplay, observed in a wide variety of animal
species including turtles and ravens, has led researchers to question what
advantages play provides to the animals engaged in it. Mounting evidence
suggests that play is critical in developing the neural flexibility for
creative problem solving, socialization, and can improve the plasticity of the
medial prefrontal cortex. Comparatively little is known regarding the impact of
gameplay upon embodied artificial agents. While recent work has produced
artificial agents proficient in abstract games, the environments these agents
act within are far removed the real world and thus these agents provide little
insight into the advantages of embodied play. Hiding games have arisen in
multiple cultures and species, and provide a rich ground for studying the
impact of embodied gameplay on representation learning in the context of
perspective taking, secret keeping, and false belief understanding. Here we are
the first to show that embodied adversarial reinforcement learning agents
playing cache, a variant of hide-and-seek, in a high fidelity, interactive,
environment, learn representations of their observations encoding information
such as occlusion, object permanence, free space, and containment; on par with
representations learnt by the most popular modern paradigm for visual
representation learning which requires large datasets independently labeled for
each new task. Our representations are enhanced by intent and memory, through
interaction and play, moving closer to biologically motivated learning
strategies. These results serve as a model for studying how facets of vision
and perspective taking develop through play, provide an experimental framework
for assessing what is learned by artificial agents, and suggest that
representation learning should move from static datasets and towards
experiential, interactive, learning.",cs.CV,"cs.CV, cs.AI, cs.LG",3,Computer Vision and Pattern Recognition,"Computer Vision and Pattern Recognition, Artificial Intelligence, Machine Learning",Ali Farhadi,"Luca Weihs, Aniruddha Kembhavi, Winson Han, Alvaro Herrasti, Eric Kolve, Dustin Schwenk, Roozbeh Mottaghi, Ali Farhadi",8,http://arxiv.org/pdf/1912.08195v1,http://arxiv.org/abs/1912.08195v1,2019-12-17
Causality matters in medical imaging,"This article discusses how the language of causality can shed new light on
the major challenges in machine learning for medical imaging: 1) data scarcity,
which is the limited availability of high-quality annotations, and 2) data
mismatch, whereby a trained algorithm may fail to generalize in clinical
practice. Looking at these challenges through the lens of causality allows
decisions about data collection, annotation procedures, and learning strategies
to be made (and scrutinized) more transparently. We discuss how causal
relationships between images and annotations can not only have profound effects
on the performance of predictive models, but may even dictate which learning
strategies should be considered in the first place. For example, we conclude
that semi-supervision may be unsuitable for image segmentation---one of the
possibly surprising insights from our causal analysis, which is illustrated
with representative real-world examples of computer-aided diagnosis (skin
lesion classification in dermatology) and radiotherapy (automated contouring of
tumours). We highlight that being aware of and accounting for the causal
relationships in medical imaging data is important for the safe development of
machine learning and essential for regulation and responsible reporting. To
facilitate this we provide step-by-step recommendations for future studies.",eess.IV,"eess.IV, cs.AI, cs.CV, cs.LG",4,Image and Video Processing,"Image and Video Processing, Artificial Intelligence, Computer Vision and Pattern Recognition, Machine Learning",Ben Glocker,"Daniel C. Castro, Ian Walker, Ben Glocker",3,http://arxiv.org/pdf/1912.08142v1,http://arxiv.org/abs/1912.08142v1,2019-12-17
"Putting Ridesharing to the Test: Efficient and Scalable Solutions and
  the Power of Dynamic Vehicle Relocation","Ridesharing is a coordination problem in its core. Traditionally it has been
solved in a centralized manner by ridesharing platforms. Yet, to truly allow
for scalable solutions, we needs to shift from traditional approaches, to
multi-agent systems, ideally run on-device. In this paper, we show that a
recently proposed heuristic (ALMA), which exhibits such properties, offers an
efficient, end-to-end solution for the ridesharing problem. Moreover, by
utilizing simple relocation schemes we significantly improve QoS metrics, by up
to 50%.
  To demonstrate the latter, we perform a systematic evaluation of a diverse
set of algorithms for the ridesharing problem, which is, to the best of our
knowledge, one of the largest and most comprehensive to date. Our evaluation
setting is specifically designed to resemble reality as closely as possible. In
particular, we evaluate 12 different algorithms over 12 metrics related to
global efficiency, complexity, passenger, driver, and platform incentives.",cs.MA,"cs.MA, cs.DS",2,Multiagent Systems,"Multiagent Systems, Data Structures and Algorithms",Boi Faltings,"Panayiotis Danassis, Marija Sakota, Aris Filos-Ratsikas, Boi Faltings",4,http://arxiv.org/pdf/1912.08066v1,http://arxiv.org/abs/1912.08066v1,2019-12-17
"A Novel Self-Organizing PID Approach for Controlling Mobile Robot
  Locomotion","A novel self-organizing fuzzy proportional-integral-derivative (SOF-PID)
control system is proposed in this paper. The proposed system consists of a
pair of control and reference models, both of which are implemented by a
first-order autonomous learning multiple model (ALMMo) neuro-fuzzy system. The
SOF-PID controller self-organizes and self-updates the structures and
meta-parameters of both the control and reference models during the control
process ""on the fly"". This gives the SOF-PID control system the capability of
quickly adapting to entirely new operating environments without a full
re-training. Moreover, the SOF-PID control system is free from user- and
problem-specific parameters, and the uniform stability of the SOF-PID control
system is theoretically guaranteed. Simulations and real-world experiments with
mobile robots demonstrate the effectiveness and validity of the proposed
SOF-PID control system.",eess.SY,"eess.SY, cs.RO, cs.SY",3,eess.SY,"Robotics, Systems and Control",Zhao-Xu Yang,"Xiaowei Gu, Muhammad Aurangzeb Khan, Plamen Angelov, Bikash Tiwary, Elnaz Shafipour Yourdshah, Zhao-Xu Yang",6,http://arxiv.org/pdf/1912.08057v1,http://arxiv.org/abs/1912.08057v1,2019-12-17
"A Multi-task Learning Model for Chinese-oriented Aspect Polarity
  Classification and Aspect Term Extraction","Aspect-based sentiment analysis (ABSA) task is a multi-grained task of
natural language processing and consists of two subtasks: aspect term
extraction (ATE) and aspect polarity classification (APC). Most of the existing
work focuses on the subtask of aspect term polarity inferring and ignores the
significance of aspect term extraction. Besides, the xisting researches do not
pay attention to the research of the Chinese-oriented ABSA task. Based on the
local context focus (LCF) mechanism, this paper firstly proposes a multi-task
learning model for Chineseoriented aspect-based sentiment analysis, namely
LCF-ATEPC. Compared with existing models, this model equips the capability of
extracting aspect term and inferring aspect term polarity synchronously,
moreover, this model is effective to analyze both Chinese and English comments
simultaneously and the experiment on a multilingual mixed dataset proved its
availability. By integrating the domain-adapted BERT model, the LCF-ATEPC model
achieved the state-ofthe-art performance of aspect term extraction and aspect
polarity classification in four Chinese review datasets. Besides, the
experimental results on the most commonly used SemEval-2014 task4 Restaurant
and Laptop datasets outperform the state-of-the-art performance on the ATE
subtask.",cs.CL,"cs.CL, cs.LG",2,Computation and Language,"Computation and Language, Machine Learning",Ruyang Xu,"Heng Yang, Biqing Zeng, JianHao Yang, Youwei Song, Ruyang Xu",5,http://arxiv.org/pdf/1912.07976v1,http://arxiv.org/abs/1912.07976v1,2019-12-17
"Pioneer dataset and automatic recognition of Urdu handwritten characters
  using a deep autoencoder and convolutional neural network","Automatic recognition of Urdu handwritten digits and characters, is a
challenging task. It has applications in postal address reading, bank's cheque
processing, and digitization and preservation of handwritten manuscripts from
old ages. While there exists a significant work for automatic recognition of
handwritten English characters and other major languages of the world, the work
done for Urdu lan-guage is extremely insufficient. This paper has two goals.
Firstly, we introduce a pioneer dataset for handwritten digits and characters
of Urdu, containing samples from more than 900 individuals. Secondly, we report
results for automatic recog-nition of handwritten digits and characters as
achieved by using deep auto-encoder network and convolutional neural network.
More specifically, we use a two-layer and a three-layer deep autoencoder
network and convolutional neural network and evaluate the two frameworks in
terms of recognition accuracy. The proposed framework of deep autoencoder can
successfully recognize digits and characters with an accuracy of 97% for digits
only, 81% for characters only and 82% for both digits and characters
simultaneously. In comparison, the framework of convolutional neural network
has accuracy of 96.7% for digits only, 86.5% for characters only and 82.7% for
both digits and characters simultaneously. These frameworks can serve as
baselines for future research on Urdu handwritten text.",cs.CV,"cs.CV, cs.CL, cs.LG",3,Computer Vision and Pattern Recognition,"Computer Vision and Pattern Recognition, Computation and Language, Machine Learning",Shahid Khattak,"Hazrat Ali, Ahsan Ullah, Talha Iqbal, Shahid Khattak",4,http://arxiv.org/pdf/1912.07943v1,http://arxiv.org/abs/1912.07943v1,2019-12-17
"Knowledge-Enhanced Attentive Learning for Answer Selection in Community
  Question Answering Systems","In the community question answering (CQA) system, the answer selection task
aims to identify the best answer for a specific question, and thus is playing a
key role in enhancing the service quality through recommending appropriate
answers for new questions. Recent advances in CQA answer selection focus on
enhancing the performance by incorporating the community information,
particularly the expertise (previous answers) and authority (position in the
social network) of an answerer. However, existing approaches for incorporating
such information are limited in (a) only considering either the expertise or
the authority, but not both; (b) ignoring the domain knowledge to differentiate
topics of previous answers; and (c) simply using the authority information to
adjust the similarity score, instead of fully utilizing it in the process of
measuring the similarity between segments of the question and the answer. We
propose the Knowledge-enhanced Attentive Answer Selection (KAAS) model, which
enhances the performance through (a) considering both the expertise and the
authority of the answerer; (b) utilizing the human-labeled tags, the taxonomy
of the tags, and the votes as the domain knowledge to infer the expertise of
the answer; (c) using matrix decomposition of the social network (formed by
following-relationship) to infer the authority of the answerer and
incorporating such information in the process of evaluating the similarity
between segments. Besides, for vertical community, we incorporate an external
knowledge graph to capture more professional information for vertical CQA
systems. Then we adopt the attention mechanism to integrate the analysis of the
text of questions and answers and the aforementioned community information.
Experiments with both vertical and general CQA sites demonstrate the superior
performance of the proposed KAAS model.",cs.AI,"cs.AI, cs.CL, cs.IR",3,Artificial Intelligence,"Artificial Intelligence, Computation and Language, Information Retrieval",Qingpeng Zhang,"Fengshi Jing, Qingpeng Zhang",2,http://arxiv.org/pdf/1912.07915v1,http://arxiv.org/abs/1912.07915v1,2019-12-17
"Joint Interaction and Trajectory Prediction for Autonomous Driving using
  Graph Neural Networks","In this work, we aim to predict the future motion of vehicles in a traffic
scene by explicitly modeling their pairwise interactions. Specifically, we
propose a graph neural network that jointly predicts the discrete interaction
modes and 5-second future trajectories for all agents in the scene. Our model
infers an interaction graph whose nodes are agents and whose edges capture the
long-term interaction intents among the agents. In order to train the model to
recognize known modes of interaction, we introduce an auto-labeling function to
generate ground truth interaction labels. Using a large-scale real-world
driving dataset, we demonstrate that jointly predicting the trajectories along
with the explicit interaction types leads to significantly lower trajectory
error than baseline methods. Finally, we show through simulation studies that
the learned interaction modes are semantically meaningful.",stat.ML,"stat.ML, cs.AI, cs.LG",3,Machine Learning,"Machine Learning, Artificial Intelligence, Machine Learning",Micol Marchetti-Bowick,"Donsuk Lee, Yiming Gu, Jerrick Hoang, Micol Marchetti-Bowick",4,http://arxiv.org/pdf/1912.07882v1,http://arxiv.org/abs/1912.07882v1,2019-12-17
Cross-Lingual Ability of Multilingual BERT: An Empirical Study,"Recent work has exhibited the surprising cross-lingual abilities of
multilingual BERT (M-BERT) -- surprising since it is trained without any
cross-lingual objective and with no aligned data. In this work, we provide a
comprehensive study of the contribution of different components in M-BERT to
its cross-lingual ability. We study the impact of linguistic properties of the
languages, the architecture of the model, and the learning objectives. The
experimental study is done in the context of three typologically different
languages -- Spanish, Hindi, and Russian -- and using two conceptually
different NLP tasks, textual entailment and named entity recognition. Among our
key conclusions is the fact that the lexical overlap between languages plays a
negligible role in the cross-lingual success, while the depth of the network is
an integral part of it.",cs.CL,"cs.CL, cs.AI, cs.LG",3,Computation and Language,"Computation and Language, Artificial Intelligence, Machine Learning",Dan Roth,"Karthikeyan K, Zihan Wang, Stephen Mayhew, Dan Roth",4,http://arxiv.org/pdf/1912.07840v1,http://arxiv.org/abs/1912.07840v1,2019-12-17
Design and Implementation of Linked Planning Domain Definition Language,"Planning is a critical component of any artificial intelligence system that
concerns the realization of strategies or action sequences typically for
intelligent agents and autonomous robots. Given predefined parameterized
actions, a planning service should accept a query with the goal and initial
state to give a solution with a sequence of actions applied to environmental
objects. This paper addresses the problem by providing a repository of actions
generically applicable to various environmental objects based on Semantic Web
technologies. Ontologies are used for asserting constraints in common sense as
well as for resolving compatibilities between actions and states. Constraints
are defined using Web standards such as SPARQL and SHACL to allow conditional
predicates. We demonstrate the usefulness of the proposed planning domain
description language with our robotics applications.",cs.AI,"cs.AI, cs.LO, cs.RO",3,Artificial Intelligence,"Artificial Intelligence, Logic in Computer Science, Robotics",Takao Moriyama,"Michiaki Tatsubori, Asim Munawar, Takao Moriyama",3,http://arxiv.org/pdf/1912.07834v1,http://arxiv.org/abs/1912.07834v1,2019-12-17
