title,summary,primary_tag,tags,n_tags,primary_category,categories,author,authors,n_authors,url_pdf,url_href,date
"Representation Internal-Manipulation (RIM): A Neuro-Inspired
  Computational Theory of Consciousness","Many theories, based on neuroscientific and psychological empirical evidence
and on computational concepts, have been elaborated to explain the emergence of
consciousness in the central nervous system. These theories propose key
fundamental mechanisms to explain consciousness, but they only partially
connect such mechanisms to the possible functional and adaptive role of
consciousness. Recently, some cognitive and neuroscientific models try to solve
this gap by linking consciousness to various aspects of goal-directed
behaviour, the pivotal cognitive process that allows mammals to flexibly act in
challenging environments. Here we propose the Representation
Internal-Manipulation (RIM) theory of consciousness, a theory that links the
main elements of consciousness theories to components and functions of
goal-directed behaviour, ascribing a central role for consciousness to the
goal-directed manipulation of internal representations. This manipulation
relies on four specific computational operations to perform the flexible
internal adaptation of all key elements of goal-directed computation, from the
representations of objects to those of goals, actions, and plans. Finally, we
propose the concept of `manipulation agency' relating the sense of agency to
the internal manipulation of representations. This allows us to propose that
the subjective experience of consciousness is associated to the human capacity
to generate and control a simulated internal reality that is vividly perceived
and felt through the same perceptual and emotional mechanisms used to tackle
the external world.",cs.AI,"q-bio.NC, cs.LG, cs.AI, stat.ML, cs.NE",5,Artificial Intelligence,"Neurons and Cognition, Machine Learning, Artificial Intelligence, Machine Learning, Neural and Evolutionary Computing",Giovanni Granato,"Gianluca Baldassarre, Giovanni Granato",2,http://arxiv.org/pdf/1912.13490v1,http://arxiv.org/abs/1912.13490v1,2019-12-31
"Towards Neural-Guided Program Synthesis for Linear Temporal Logic
  Specifications","Synthesizing a program that realizes a logical specification is a classical
problem in computer science. We examine a particular type of program synthesis,
where the objective is to synthesize a strategy that reacts to a potentially
adversarial environment while ensuring that all executions satisfy a Linear
Temporal Logic (LTL) specification. Unfortunately, exact methods to solve
so-called LTL synthesis via logical inference do not scale. In this work, we
cast LTL synthesis as an optimization problem. We employ a neural network to
learn a Q-function that is then used to guide search, and to construct programs
that are subsequently verified for correctness. Our method is unique in
combining search with deep learning to realize LTL synthesis. In our
experiments the learned Q-function provides effective guidance for synthesis
problems with relatively small specifications.",cs.AI,"cs.GT, cs.LO, cs.FL, cs.NE, cs.AI",5,Artificial Intelligence,"Computer Science and Game Theory, Logic in Computer Science, Formal Languages and Automata Theory, Neural and Evolutionary Computing, Artificial Intelligence",Sheila A. McIlraith,"Alberto Camacho, Sheila A. McIlraith",2,http://arxiv.org/pdf/1912.13430v1,http://arxiv.org/abs/1912.13430v1,2019-12-31
oLMpics -- On what Language Model Pre-training Captures,"Recent success of pre-trained language models (LMs) has spurred widespread
interest in the language capabilities that they possess. However, efforts to
understand whether LM representations are useful for symbolic reasoning tasks
have been limited and scattered. In this work, we propose eight reasoning
tasks, which conceptually require operations such as comparison, conjunction,
and composition. A fundamental challenge is to understand whether the
performance of a LM on a task should be attributed to the pre-trained
representations or to the process of fine-tuning on the task data. To address
this, we propose an evaluation protocol that includes both zero-shot evaluation
(no fine-tuning), as well as comparing the learning curve of a fine-tuned LM to
the learning curve of multiple controls, which paints a rich picture of the LM
capabilities. Our main findings are that: (a) different LMs exhibit
qualitatively different reasoning abilities, e.g., RoBERTa succeeds in
reasoning tasks where BERT fails completely; (b) LMs do not reason in an
abstract manner and are context-dependent, e.g., while RoBERTa can compare
ages, it can do so only when the ages are in the typical range of human ages;
(c) On half of our reasoning tasks all models fail completely. Our findings and
infrastructure can help future work on designing new datasets, models and
objective functions for pre-training.",cs.CL,"cs.CL, cs.LG, cs.AI",3,Computation and Language,"Computation and Language, Machine Learning, Artificial Intelligence",Jonathan Berant,"Alon Talmor, Yanai Elazar, Yoav Goldberg, Jonathan Berant",4,http://arxiv.org/pdf/1912.13283v1,http://arxiv.org/abs/1912.13283v1,2019-12-31
Intrinsic motivations and open-ended learning,"There is a growing interest and literature on intrinsic motivations and
open-ended learning in both cognitive robotics and machine learning on one
side, and in psychology and neuroscience on the other. This paper aims to
review some relevant contributions from the two literature threads and to draw
links between them. To this purpose, the paper starts by defining intrinsic
motivations and by presenting a computationally-driven theoretical taxonomy of
their different types. Then it presents relevant contributions from the
psychological and neuroscientific literature related to intrinsic motivations,
interpreting them based on the grid, and elucidates the mechanisms and
functions they play in animals and humans. Endowed with such concepts and their
biological underpinnings, the paper next presents a selection of models from
cognitive robotics and machine learning that computationally operationalise the
concepts of intrinsic motivations and links them to biology concepts. The
contribution finally presents some of the open challenges of the field from
both the psychological/neuroscientific and computational perspectives.",cs.AI,"stat.ML, cs.LG, cs.AI",3,Artificial Intelligence,"Machine Learning, Machine Learning, Artificial Intelligence",Gianluca Baldassarre,Gianluca Baldassarre,1,http://arxiv.org/pdf/1912.13263v1,http://arxiv.org/abs/1912.13263v1,2019-12-31
Leveraging Semi-Supervised Learning for Fairness using Neural Networks,"There has been a growing concern about the fairness of decision-making
systems based on machine learning. The shortage of labeled data has been always
a challenging problem facing machine learning based systems. In such scenarios,
semi-supervised learning has shown to be an effective way of exploiting
unlabeled data to improve upon the performance of model. Notably, unlabeled
data do not contain label information which itself can be a significant source
of bias in training machine learning systems. This inspired us to tackle the
challenge of fairness by formulating the problem in a semi-supervised
framework. In this paper, we propose a semi-supervised algorithm using neural
networks benefiting from unlabeled data to not just improve the performance but
also improve the fairness of the decision-making process. The proposed model,
called SSFair, exploits the information in the unlabeled data to mitigate the
bias in the training data.",cs.LG,"stat.ML, cs.LG, cs.AI",3,Machine Learning,"Machine Learning, Machine Learning, Artificial Intelligence",Philip S. Yu,"Vahid Noroozi, Sara Bahaadini, Samira Sheikhi, Nooshin Mojab, Philip S. Yu",5,http://arxiv.org/pdf/1912.13230v1,http://arxiv.org/abs/1912.13230v1,2019-12-31
"Definitions and Semantic Simulations Based on Object-Oriented Analysis
  and Modeling","We have proposed going beyond traditional ontologies to use rich semantics
implemented in programming languages for modeling. In this paper, we discuss
the application of executable semantic models to two examples, first a
structured definition of a waterfall and second the cardiopulmonary system. We
examine the components of these models and the way those components interact.
Ultimately, such models should provide the basis for direct representation.",cs.AI,cs.AI,1,Artificial Intelligence,Artificial Intelligence,Robert B. Allen,Robert B. Allen,1,http://arxiv.org/pdf/1912.13186v1,http://arxiv.org/abs/1912.13186v1,2019-12-31
C. H. Robinson Uses Heuristics to Solve Rich Vehicle Routing Problems,"We consider a wide family of vehicle routing problem variants with many
complex and practical constraints, known as rich vehicle routing problems,
which are faced on a daily basis by C.H. Robinson (CHR). Since CHR has many
customers, each with distinct requirements, various routing problems with
different objectives and constraints should be solved. We propose a set
partitioning framework with a number of route generation algorithms, which have
shown to be effective in solving a variety of different problems. The proposed
algorithms have outperformed the existing technologies at CHR on 10 benchmark
instances and since, have been embedded into the company's transportation
planning and execution technology platform.",cs.AI,"math.OC, cs.AI",2,Artificial Intelligence,"Optimization and Control, Artificial Intelligence",Cody Wanless,"Ehsan Khodabandeh, Lawrence V. Snyder, John Dennis, Joshua Hammond, Cody Wanless",5,http://arxiv.org/pdf/1912.13157v1,http://arxiv.org/abs/1912.13157v1,2019-12-31
Towards Regulated Deep Learning,"Regulation of Multi-Agent Systems (MAS) was a research topic of the past
decade and one of these proposals was Electronic Institutions. However, with
the recent reformulation of Artificial Neural Networks (ANN) as Deep Learning
(DL), Security, Privacy, Ethical and Legal issues regarding the use of DL has
raised concerns in the Artificial Intelligence (AI) Community. Now that the
Regulation of MAS is almost correctly addressed, we propose the Regulation of
ANN as Agent-based Training of a special type of regulated ANN that we call
Institutional Neural Network. This paper introduces the former concept and
provides $\mathcal{I}$, a language previously used to model and extend
Electronic Institutions, as a means to implement and regulate DL.",cs.AI,"cs.MA, cs.LG, cs.AI, cs.PL, cs.LO",5,Artificial Intelligence,"Multiagent Systems, Machine Learning, Artificial Intelligence, Programming Languages, Logic in Computer Science",Andrés García-Camino,Andrés García-Camino,1,http://arxiv.org/pdf/1912.13122v1,http://arxiv.org/abs/1912.13122v1,2019-12-31
Side-Tuning: Network Adaptation via Additive Side Networks,"When training a neural network for a desired task, one may prefer to adapt a
pre-trained network rather than start with a randomly initialized one -- due to
lacking enough training data, performing lifelong learning where the system has
to learn a new task while being previously trained for other tasks, or wishing
to encode priors in the network via preset weights. The most commonly employed
approaches for network adaptation are fine-tuning and using the pre-trained
network as a fixed feature extractor, among others.
  In this paper, we propose a straightforward alternative: Side-Tuning.
Side-tuning adapts a pre-trained network by training a lightweight ""side""
network that is fused with the (unchanged) pre-trained network using summation.
This simple method works as well as or better than existing solutions while it
resolves some of the basic issues with fine-tuning, fixed features, and several
other common baselines. In particular, side-tuning is less prone to overfitting
when little training data is available, yields better results than using a
fixed feature extractor, and does not suffer from catastrophic forgetting in
lifelong learning. We demonstrate the performance of side-tuning under a
diverse set of scenarios, including lifelong learning (iCIFAR, Taskonomy),
reinforcement learning, imitation learning (visual navigation in Habitat), NLP
question-answering (SQuAD v2), and single-task transfer learning (Taskonomy),
with consistently promising results.",cs.LG,"cs.CV, cs.NE, cs.LG, cs.RO",4,Machine Learning,"Computer Vision and Pattern Recognition, Neural and Evolutionary Computing, Machine Learning, Robotics",Jitendra Malik,"Jeffrey O Zhang, Alexander Sax, Amir Zamir, Leonidas Guibas, Jitendra Malik",5,http://arxiv.org/pdf/1912.13503v1,http://arxiv.org/abs/1912.13503v1,2019-12-31
"OneGAN: Simultaneous Unsupervised Learning of Conditional Image
  Generation, Foreground Segmentation, and Fine-Grained Clustering","We present a method for simultaneously learning, in an unsupervised manner,
(i) a conditional image generator, (ii) foreground extraction and segmentation,
(iii) clustering into a two-level class hierarchy, and (iv) object removal and
background completion, all done without any use of annotation. The method
combines a generative adversarial network and a variational autoencoder, with
multiple encoders, generators and discriminators, and benefits from solving all
tasks at once. The input to the training scheme is a varied collection of
unlabeled images from the same domain, as well as a set of background images
without a foreground object. In addition, the image generator can mix the
background from one image, with a foreground that is conditioned either on that
of a second image or on the index of a desired cluster. The method obtains
state of the art results in comparison to the literature methods, when compared
to the current state of the art in each of the tasks.",cs.CV,cs.CV,1,Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,Lior Wolf,"Yaniv Benny, Lior Wolf",2,http://arxiv.org/pdf/1912.13471v1,http://arxiv.org/abs/1912.13471v1,2019-12-31
